1,Acura,ILX,2015,premium unleaded (recommended),AUTOMATIC,150,31750,|n
2,Acura,ILX,2015,premium unleaded (recommended),MANUAL,201,29350,|n
3,Acura,ILX,2016,premium unleaded (recommended),AUTOMATED_MANUAL,201,34890,|n
4,Acura,ILX,2017,premium unleaded (recommended),AUTOMATED_MANUAL,201,34980,3
5,Acura,ILX Hybrid,2014,premium unleaded (recommended),AUTOMATIC,111,34600,|n
6,Acura,MDX,2015,premium unleaded (recommended),AUTOMATIC,290,56780,|n
7,Acura,MDX,2016,premium unleaded (recommended),AUTOMATIC,290,57230,6
8,Acura,MDX,2017,premium unleaded (recommended),AUTOMATIC,290,58400,7
9,Acura,NSX,2005,regular unleaded,AUTOMATIC,252,89000,|n
10,Acura,NSX,2005,regular unleaded,MANUAL,290,89000,|n
11,Acura,NSX,2017,premium unleaded (required),AUTOMATED_MANUAL,573,156000,|n
12,Acura,RDX,2015,premium unleaded (recommended),AUTOMATIC,273,40195,|n
13,Acura,RDX,2016,premium unleaded (recommended),AUTOMATIC,279,43520,12
14,Acura,RDX,2017,premium unleaded (recommended),AUTOMATIC,279,43720,13
15,Acura,RL,2010,premium unleaded (required),AUTOMATIC,300,54250,|n
16,Acura,RL,2011,premium unleaded (required),AUTOMATIC,300,55150,15
17,Acura,RL,2012,premium unleaded (required),AUTOMATIC,300,56150,16
18,Acura,RLX,2015,premium unleaded (recommended),AUTOMATIC,310,60450,|n
19,Acura,RLX,2016,premium unleaded (recommended),AUTOMATED_MANUAL,377,65950,|n
20,Acura,RLX,2016,premium unleaded (recommended),AUTOMATIC,310,60450,|n
21,Acura,RLX,2017,premium unleaded (recommended),AUTOMATIC,310,60450,20
22,Acura,RSX,2005,premium unleaded (required),MANUAL,210,23670,|n
23,Acura,RSX,2005,regular unleaded,AUTOMATIC,160,22250,|n
24,Acura,RSX,2005,regular unleaded,MANUAL,160,21350,|n
25,Acura,RSX,2006,premium unleaded (required),MANUAL,201,23845,|n
26,Acura,RSX,2006,regular unleaded,AUTOMATIC,155,22375,|n
27,Acura,RSX,2006,regular unleaded,MANUAL,155,21475,|n
28,Acura,TL,2012,premium unleaded (required),AUTOMATIC,305,45185,|n
29,Acura,TL,2012,premium unleaded (required),MANUAL,305,42985,|n
30,Acura,TL,2013,premium unleaded (recommended),AUTOMATIC,305,45385,|n
31,Acura,TL,2013,premium unleaded (recommended),MANUAL,305,43185,|n
32,Acura,TL,2014,premium unleaded (recommended),AUTOMATIC,305,45510,|n
33,Acura,TL,2014,premium unleaded (recommended),MANUAL,305,43310,|n
34,Acura,TLX,2015,premium unleaded (recommended),AUTOMATED_MANUAL,206,35500,|n
35,Acura,TLX,2015,premium unleaded (recommended),AUTOMATIC,290,44800,|n
36,Acura,TLX,2016,premium unleaded (recommended),AUTOMATED_MANUAL,206,35750,|n
37,Acura,TLX,2016,premium unleaded (recommended),AUTOMATIC,290,44800,|n
38,Acura,TLX,2017,premium unleaded (recommended),AUTOMATED_MANUAL,206,35950,|n
39,Acura,TLX,2017,premium unleaded (recommended),AUTOMATIC,290,44800,|n
